ticker,industry,exchange
HT1,Construction & Materials,HOSE
HTC,Retail,HNX
HTE,Construction & Materials,UPCOM
HTG,Personal & Household Goods,HOSE
HTI,Construction & Materials,HOSE
HTL,Industrial Goods & Services,HOSE
HTM,Retail,UPCOM
HTN,Construction & Materials,HOSE
HTP,Media,UPCOM
HTT,Real Estate,UPCOM
HTV,Industrial Goods & Services,HOSE
HU1,Construction & Materials,HOSE
HU3,Construction & Materials,UPCOM
HU4,Construction & Materials,UPCOM
HU6,Real Estate,UPCOM
HUB,Construction & Materials,HOSE
HUG,Personal & Household Goods,UPCOM
HUT,Construction & Materials,HNX
HVA,Industrial Goods & Services,UPCOM
HVH,Personal & Household Goods,HOSE
HVN,Travel & Leisure,HOSE
HVT,Chemicals,HNX
HVX,Construction & Materials,HOSE
HWS,Utilities,UPCOM
IBD,Industrial Goods & Services,UPCOM
ICC,Construction & Materials,UPCOM
ICF,Food & Beverage,UPCOM
ICG,Construction & Materials,HNX
ICI,Construction & Materials,UPCOM
ICN,Construction & Materials,UPCOM
ICT,Technology,HOSE
IDC,Real Estate,HNX
IDI,Food & Beverage,HOSE
IDJ,Real Estate,HNX
IDP,Food & Beverage,UPCOM
IDV,Real Estate,HNX
IFS,Food & Beverage,UPCOM
IHK,Media,UPCOM
IJC,Construction & Materials,HOSE
ILA,Food & Beverage,UPCOM
ILB,Industrial Goods & Services,HOSE
ILC,Industrial Goods & Services,UPCOM
ILS,Industrial Goods & Services,UPCOM
IME,Construction & Materials,UPCOM
IMP,Health Care,HOSE
IN4,Media,UPCOM
INC,Industrial Goods & Services,HNX
INN,Media,HNX
IPA,Financial Services,HNX
IRC,Automobiles & Parts,UPCOM
ISG,Industrial Goods & Services,UPCOM
ISH,Utilities,UPCOM
IST,Industrial Goods & Services,UPCOM
ITA,Real Estate,UPCOM
ITC,Real Estate,HOSE
ITD,Technology,HOSE
ITQ,Basic Resources,HNX
ITS,Industrial Goods & Services,UPCOM
IVS,Financial Services,HNX
JOS,Food & Beverage,UPCOM
JVC,Health Care,HOSE
KBC,Real Estate,HOSE
KCB,Basic Resources,UPCOM
KDC,Food & Beverage,HOSE
KDH,Real Estate,HOSE
KDM,Construction & Materials,HNX
KGM,Food & Beverage,UPCOM
KHD,Basic Resources,UPCOM
KHG,Real Estate,HOSE
KHL,Construction & Materials,UPCOM
KHP,Utilities,HOSE
KHS,Food & Beverage,HNX
KHW,Utilities,UPCOM
KHX,Unknown,UPCOM
KIP,Industrial Goods & Services,UPCOM
KKC,Basic Resources,HNX
KLB,Banks,HOSE
KMR,Personal & Household Goods,HOSE
KMT,Basic Resources,HNX
KOS,Real Estate,HOSE
KPF,Construction & Materials,UPCOM
KSB,Basic Resources,HOSE
KSD,Personal & Household Goods,HNX
KSF,Construction & Materials,HNX
KSH,Basic Resources,UPCOM
KSQ,Basic Resources,UPCOM
KST,Technology,HNX
KSV,Basic Resources,HNX
KTC,Retail,UPCOM
KTL,Personal & Household Goods,UPCOM
KTS,Food & Beverage,HNX
KTT,Industrial Goods & Services,UPCOM
KVC,Basic Resources,UPCOM
L10,Construction & Materials,HOSE
L12,Construction & Materials,UPCOM
L14,Construction & Materials,HNX
L18,Construction & Materials,HNX
L35,Construction & Materials,UPCOM
L40,Construction & Materials,HNX
L43,Construction & Materials,UPCOM
L44,Construction & Materials,UPCOM
L45,Construction & Materials,UPCOM
L61,Construction & Materials,UPCOM
L62,Construction & Materials,UPCOM
L63,Construction & Materials,UPCOM
LAF,Food & Beverage,HOSE
LAI,Real Estate,UPCOM
LAS,Chemicals,HNX
LAW,Utilities,UPCOM
LBE,Media,HNX
LBM,Construction & Materials,HOSE
LCC,Construction & Materials,UPCOM
LCD,Industrial Goods & Services,HNX
LCG,Construction & Materials,HOSE
LCM,Basic Resources,UPCOM
LDG,Real Estate,HOSE
LDP,Health Care,HNX
LDW,Utilities,UPCOM
LEC,Real Estate,UPCOM
LG9,Construction & Materials,UPCOM
LGC,Construction & Materials,HOSE
LGL,Real Estate,HOSE
LHC,Construction & Materials,HNX
LHG,Real Estate,HOSE
LIC,Construction & Materials,UPCOM
LIG,Construction & Materials,HNX
LIX,Personal & Household Goods,HOSE
LKW,Utilities,UPCOM
LLM,Construction & Materials,UPCOM
LM3,Construction & Materials,UPCOM
LM7,Construction & Materials,UPCOM
LM8,Industrial Goods & Services,HOSE
LMC,Basic Resources,UPCOM
LMH,Retail,UPCOM
LMI,Construction & Materials,UPCOM
LNC,Basic Resources,UPCOM
LO5,Construction & Materials,UPCOM
LPB,Banks,HOSE
LPT,Industrial Goods & Services,UPCOM
LQN,Construction & Materials,UPCOM
LSG,Real Estate,UPCOM
LSS,Food & Beverage,HOSE
LTC,Technology,UPCOM
LTG,Chemicals,UPCOM
LUT,Construction & Materials,UPCOM
M10,Personal & Household Goods,UPCOM
MA1,Industrial Goods & Services,UPCOM
MAC,Industrial Goods & Services,HNX
MAS,Industrial Goods & Services,HNX
MBB,Banks,HOSE
MBG,Construction & Materials,HNX
MBN,Industrial Goods & Services,UPCOM
MBS,Financial Services,HNX
MBT,Real Estate,UPCOM
MCC,Construction & Materials,HNX
MCF,Food & Beverage,HNX
MCG,Construction & Materials,UPCOM
MCH,Food & Beverage,HOSE
MCM,Food & Beverage,HOSE
MCO,Construction & Materials,HNX
MCP,Industrial Goods & Services,HOSE
MDA,Industrial Goods & Services,UPCOM
MDC,Basic Resources,HNX
MDF,Personal & Household Goods,UPCOM
MDG,Construction & Materials,HOSE
MEC,Construction & Materials,UPCOM
MED,Health Care,HNX
MEF,Health Care,UPCOM
MEL,Basic Resources,HNX
MES,Construction & Materials,UPCOM
MFS,Telecommunications,UPCOM
MGC,Basic Resources,UPCOM
MGG,Personal & Household Goods,UPCOM
MGR,Real Estate,UPCOM
MH3,Real Estate,UPCOM
MHC,Industrial Goods & Services,HOSE
MHL,Personal & Household Goods,UPCOM
MIC,Basic Resources,HNX
MIE,Construction & Materials,UPCOM
MIG,Insurance,HOSE
MKP,Health Care,UPCOM
MKV,Health Care,HNX
MLC,Industrial Goods & Services,UPCOM
MLS,Food & Beverage,UPCOM
MML,Food & Beverage,UPCOM
MNB,Personal & Household Goods,UPCOM
MND,Industrial Goods & Services,UPCOM
MPC,Food & Beverage,UPCOM
MPT,Personal & Household Goods,UPCOM
MPY,Industrial Goods & Services,UPCOM
MQB,Industrial Goods & Services,UPCOM
MQN,Industrial Goods & Services,UPCOM
MRF,Health Care,UPCOM
MSB,Banks,HOSE
MSH,Personal & Household Goods,HOSE
MSN,Food & Beverage,HOSE
MSR,Basic Resources,UPCOM
MST,Construction & Materials,HNX
MTA,Basic Resources,UPCOM
MTB,Industrial Goods & Services,UPCOM
MTG,Utilities,UPCOM
MTH,Industrial Goods & Services,UPCOM
MTL,Industrial Goods & Services,UPCOM
MTP,Health Care,UPCOM
MTS,Oil & Gas,UPCOM
MTV,Industrial Goods & Services,UPCOM
MVB,Basic Resources,HNX
MVC,Construction & Materials,UPCOM
MVN,Industrial Goods & Services,UPCOM
MWG,Retail,HOSE
MZG,Basic Resources,UPCOM
NAB,Banks,HOSE
NAC,Construction & Materials,UPCOM
NAF,Food & Beverage,HOSE
NAG,Personal & Household Goods,HNX
NAP,Industrial Goods & Services,HNX
NAS,Industrial Goods & Services,UPCOM
NAU,Industrial Goods & Services,UPCOM
NAV,Construction & Materials,HOSE
NAW,Utilities,UPCOM
NBB,Real Estate,HOSE
NBC,Basic Resources,HNX
NBE,Retail,UPCOM
NBP,Utilities,HNX
NBT,Utilities,UPCOM
NBW,Utilities,HNX
NCG,Industrial Goods & Services,UPCOM
NCS,Travel & Leisure,UPCOM
NCT,Industrial Goods & Services,HOSE
ND2,Construction & Materials,UPCOM
NDC,Health Care,UPCOM
NDF,Food & Beverage,UPCOM
NDN,Real Estate,HNX
NDP,Health Care,UPCOM
NDT,Personal & Household Goods,UPCOM
NDW,Utilities,UPCOM
NDX,Construction & Materials,HNX
NED,Utilities,UPCOM
NET,Personal & Household Goods,HNX
